decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2010's,Mission: Impossible - Ghost Protocol,145,695,479,209,30.1,485,69.9,2011
2010's,The Twilight Saga: Eclipse,68,699,1027,301,43,398,57,2010
2010's,It,40,702,1755,329,46.9,373,53.1,2017
2010's,The Amazing Spider-Man 2,293,709,242,203,28.6,506,71.4,2014
2000's,Monsters vs. Aliens,170,382,224,198,52,183,48,2009
2010's,Dawn of the Planet of the Apes,170,711,418,209,29.4,502,70.6,2014
2000's,The Polar Express,170,315,185,189,59.9,126,40.1,2004
2010's,Breaking Dawn - Part 1,127,712,561,281,39.5,431,60.5,2011
2020's,Top Gun: Maverick,170,1487,875,717,48.2,770,51.8,2022
2010's,Captain America: The Winter Soldier,170,714,420,260,36.4,455,63.6,2014
2010's,Gravity,100,723,723,274,37.9,449,62.1,2013
2010's,Monsters University,200,744,372,268,36.1,475,63.9,2013
2010's,X-Men: Days of Future Past,205,746,364,234,31.4,512,68.6,2014
2010's,Suicide Squad,185,747,404,325,43.5,422,56.5,2016
2010's,Madagascar 3: Europe's Most Wanted,145,747,515,216,29,531,71,2012
2010's,Shrek Forever After,165,753,456,239,31.7,514,68.3,2010
2010's,Mockingjay - Part 1,125,755,604,337,44.6,418,55.4,2014
2010's,The Amazing Spider-Man,230,758,330,262,34.6,496,65.4,2012
2000's,Up,175,735,420,293,39.9,442,60.1,2009
2010's,Maleficent,180,758,421,241,31.8,517,68.2,2014
2010's,Hobbs & Shaw,200,761,380,174,22.9,587,77.1,2019
2010's,Guardians of the Galaxy,170,773,455,334,43.2,440,56.8,2014
2010's,Interstellar,165,774,469,188,24.3,586,75.7,2014
2010's,Deadpool,58,783,1350,363,46.4,420,53.6,2016
2010's,Deadpool 2,110,786,714,325,41.3,461,58.7,2018
2000's,The Golden Compass,180,372,207,70,18.8,302,81.2,2007
2010's,Fast & Furious 6,160,789,493,239,30.3,550,69.7,2013
2010's,Mission: Impossible - Fallout,178,792,445,220,27.8,571,72.2,2018
2000's,The Lion the Witch and the Wardrobe,180,745,414,292,39.2,453,60.8,2005
2010's,Pirates of the Caribbean: Dead Men Tell No Tales,230,795,346,173,21.7,622,78.3,2017
2000's,WALL-E,180,521,290,224,42.9,298,57.1,2008
2010's,Jumanji: The Next Level,132,802,607,320,40,481,60,2019
2010's,Coco,225,808,359,210,26,597,74,2017
2000's,Indiana Jones and the Kingdom of the Crystal Skull,185,791,427,317,40.1,474,59.9,2008
2020's,Jurassic World: Dominion,185,1001,541,376,37.6,625,62.4,2022
2010's,Fantastic Beasts and Where to Find Them,200,814,407,234,28.8,580,71.2,2016
2010's,Wonder Woman,200,823,411,413,50.2,410,49.8,2017
2010's,Inception,160,837,523,293,35,544,65,2010
2000's,Prince of Persia: The Sands of Time,185,336,182,91,27,246,73,2009
2010's,Breaking Dawn - Part 2,136,849,624,292,34.4,557,65.6,2012
2010's,Thor: Ragnarok,180,854,474,315,36.9,539,63.1,2017
2000's,The Dark Knight,185,1006,544,535,53.2,471,46.8,2008
2000's,Troy,185,497,269,133,26.8,364,73.2,2004
2010's,Venom,116,856,738,214,24.9,643,75.1,2018
2000's,Terminator 3,187,433,232,150,34.7,283,65.3,2003
2010's,Inside Out,175,859,491,357,41.6,502,58.4,2015
2010's,Guardians of the Galaxy Vol. 2,200,864,432,390,45.1,474,54.9,2017
2010's,The Hunger Games: Catching Fire,78,865,1109,425,49.1,440,50.9,2013
2010's,Batman v Superman,250,874,349,330,37.8,543,62.2,2016
2010's,Ice Age: Continental Drift,95,877,923,161,18.4,716,81.6,2012
2010's,Spider-Man: Homecoming,175,880,503,334,38,546,62,2017
2000's,2012,200,791,396,166,21,625,79,2009
2000's,A Christmas Carol,200,325,163,138,42.4,187,57.6,2009
2010's,Spectre,300,881,294,200,22.7,681,77.3,2015
2020's,Black Widow,200,380,190,184,48.4,196,51.6,2021
2010's,The Secret Life of Pets,75,894,1192,368,41.2,526,58.8,2016
2020's,Dr Strange: Multiverse of Madness,200,956,478,411,43,544,57,2022
2020's,Eternals,200,402,201,165,41,237,59,2021
2020's,F9: The Fast Saga,200,726,363,173,23.8,553,76.2,2021
2010's,Bohemian Rhapsody,52,911,1752,217,23.8,694,76.2,2018
2010's,The Hobbit: The Desolation of Smaug,250,959,384,258,26.9,701,73.1,2013
2020's,Fantastic Beasts: The Secrets of Dumbledore,200,405,203,96,23.7,309,76.3,2022
2010's,The Hobbit: The Battle of the Five Armies,300,962,321,255,26.5,707,73.5,2014
2020's,Godzilla vs. Kong,200,470,235,101,21.5,369,78.5,2021
2010's,Jumanji: Welcome to the Jungle,90,963,1069,405,42,558,58,2017
2010's,The Jungle Book (2016),177,967,546,364,37.7,603,62.3,2016
2010's,Despicable Me 2,78,971,1245,368,37.9,603,62.1,2013
2010's,Harry Potter and the Deathly Hallows: Part 1,125,977,782,296,30.3,681,69.7,2010
2010's,The Hobbit: An Unexpected Journey,180,1017,565,303,29.8,714,70.2,2012
2010's,Alice in Wonderland,200,1025,513,334,32.6,691,67.4,2010
2010's,Finding Dory,200,1029,514,486,47.3,542,52.7,2016
2010's,Despicable Me 3,80,1035,1294,265,25.6,770,74.4,2017
2010's,Zootopia,150,1043,695,341,32.7,701,67.3,2016
2000's,Spider-Man 2,200,789,394,374,47.4,415,52.6,2004
2020's,Spider-Man: No Way Home,200,1971,986,814,41.3,1157,58.7,2021
2020's,Tenet,200,365,183,59,16,307,84,2020
2000's,Terminator Salvation,200,371,186,125,33.8,246,66.2,2009
2020's,The Batman,200,771,385,369,47.9,401,52.1,2022
2010's,Pirates of the Caribbean: On Stranger Tides,379,1046,276,241,23,805,77,2011
1990's,Titanic,200,2202,1101,659,30,1542,70,1997
2010's,Aladdin,183,1051,574,356,33.8,695,66.2,2019
2010's,Rogue One,275,1059,385,534,50.4,525,49.6,2016
2000's,Transformers,200,710,355,319,45,390,55,2007
2000's,Transformers: Revenge of the Fallen,200,836,418,402,48.1,434,51.9,2009
